topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
tesla,0.10810810810810811,0.07692307692307693,0.1891891891891892,1.7321428571428572,2.037037037037037
ev,-0.027027027,0,0.13513513513513514,0.08928571428571429,0.07407407407407407
electric,-0.054054054,0.07692307692307693,0.13513513513513514,0.03571428571428571,0.037037037037037035
battery,0.2702702702702703,-0.230769231,0.16216216216216217,-0.017857143,0.07407407407407407
looks,-0.108108108,0,0,-0.017857143,0
time,0.16216216216216217,0.038461538461538464,0.13513513513513514,0.25,0.18518518518518517
charging,0,0,0,0.03571428571428571,0
range,0.21621621621621623,-0.038461538,0.32432432432432434,0.07142857142857142,0.2962962962962963
price,0.3783783783783784,0.07692307692307693,0.2702702702702703,-0.053571429,0.25925925925925924
use,0.08108108108108109,-0.076923077,0.2972972972972973,0.017857142857142856,0.1111111111111111
