video_id,topics,Negative,Neutral,Positive
08H8R6pNiXI,autopilot,31,2,8
08H8R6pNiXI,battery,31,2,8
08H8R6pNiXI,charging,31,2,8
08H8R6pNiXI,crossover,31,2,8
08H8R6pNiXI,dc fast charging,31,2,8
08H8R6pNiXI,driver assistance,31,2,8
08H8R6pNiXI,infotainment,31,2,8
08H8R6pNiXI,network,31,2,8
08H8R6pNiXI,range,31,2,8
08H8R6pNiXI,tax credit,31,2,8
08H8R6pNiXI,tesla,31,2,8
2I300RpQl3c,battery,39,2,11
2I300RpQl3c,chargepoint,39,2,11
2I300RpQl3c,charger,39,2,11
2I300RpQl3c,charging,39,2,11
2I300RpQl3c,charging station,39,2,11
2I300RpQl3c,dc fast charging,39,2,11
2I300RpQl3c,electrify america,39,2,11
2I300RpQl3c,fast charging,39,2,11
2I300RpQl3c,home charging,39,2,11
2I300RpQl3c,range,39,2,11
2I300RpQl3c,smart charging,39,2,11
2I300RpQl3c,supercharger,39,2,11
2I300RpQl3c,tesla,39,2,11
6-XUGVmh0MA,battery,145,5,53
6-XUGVmh0MA,charging,145,5,53
6-XUGVmh0MA,crossover,145,5,53
6-XUGVmh0MA,range,145,5,53
6-XUGVmh0MA,rivian,145,5,53
6-XUGVmh0MA,state of charge,145,5,53
6-XUGVmh0MA,tesla,145,5,53
6-XUGVmh0MA,touchscreen,145,5,53
6-XUGVmh0MA,warranty,145,5,53
By1G_b7oRAc,battery,164,9,66
By1G_b7oRAc,battery swap,164,9,66
By1G_b7oRAc,capacity,164,9,66
By1G_b7oRAc,charge time,164,9,66
By1G_b7oRAc,chargepoint,164,9,66
By1G_b7oRAc,charger,164,9,66
By1G_b7oRAc,charging,164,9,66
By1G_b7oRAc,charging station,164,9,66
By1G_b7oRAc,degradation,164,9,66
By1G_b7oRAc,electrify america,164,9,66
By1G_b7oRAc,fast charging,164,9,66
By1G_b7oRAc,home charging,164,9,66
By1G_b7oRAc,network,164,9,66
By1G_b7oRAc,range,164,9,66
By1G_b7oRAc,road trip,164,9,66
By1G_b7oRAc,self-driving,164,9,66
By1G_b7oRAc,state of charge,164,9,66
By1G_b7oRAc,supercharger,164,9,66
By1G_b7oRAc,tesla,164,9,66
By1G_b7oRAc,tesla supercharger,164,9,66
C3nc4gZ7fTg,battery,65,1,27
C3nc4gZ7fTg,bidirectional charging,65,1,27
C3nc4gZ7fTg,charging,65,1,27
C3nc4gZ7fTg,fast charging,65,1,27
C3nc4gZ7fTg,federal tax credit,65,1,27
C3nc4gZ7fTg,network,65,1,27
C3nc4gZ7fTg,range,65,1,27
C3nc4gZ7fTg,tesla,65,1,27
C3nc4gZ7fTg,tesla supercharger,65,1,27
CUwI3-JzpKQ,battery,10,0,6
CUwI3-JzpKQ,bmw i3,10,0,6
CUwI3-JzpKQ,ccs,10,0,6
CUwI3-JzpKQ,charger,10,0,6
CUwI3-JzpKQ,charging,10,0,6
CUwI3-JzpKQ,charging station,10,0,6
CUwI3-JzpKQ,dc fast charging,10,0,6
CUwI3-JzpKQ,electrify america,10,0,6
CUwI3-JzpKQ,fast charging,10,0,6
CUwI3-JzpKQ,network,10,0,6
CUwI3-JzpKQ,nissan leaf,10,0,6
CUwI3-JzpKQ,plug-in hybrid,10,0,6
CUwI3-JzpKQ,range,10,0,6
CUwI3-JzpKQ,supercharger,10,0,6
CUwI3-JzpKQ,suv,10,0,6
CUwI3-JzpKQ,tesla,10,0,6
CUwI3-JzpKQ,tesla supercharger,10,0,6
FlpIgEY-bwU,battery,395,14,98
FlpIgEY-bwU,charging,395,14,98
FlpIgEY-bwU,home charging,395,14,98
FlpIgEY-bwU,range,395,14,98
FlpIgEY-bwU,tesla,395,14,98
FrzTjVmAXmI,autopilot,75,2,16
FrzTjVmAXmI,charger,75,2,16
FrzTjVmAXmI,charging,75,2,16
FrzTjVmAXmI,crossover,75,2,16
FrzTjVmAXmI,driver assistance,75,2,16
FrzTjVmAXmI,electrify america,75,2,16
FrzTjVmAXmI,fast charging,75,2,16
FrzTjVmAXmI,federal tax credit,75,2,16
FrzTjVmAXmI,range,75,2,16
FrzTjVmAXmI,self-driving,75,2,16
FrzTjVmAXmI,tax credit,75,2,16
FrzTjVmAXmI,tesla,75,2,16
LMkTxSMBCEk,autonomous driving,236,7,38
LMkTxSMBCEk,autopilot,236,7,38
LMkTxSMBCEk,charger,236,7,38
LMkTxSMBCEk,charging,236,7,38
LMkTxSMBCEk,range,236,7,38
LMkTxSMBCEk,recall,236,7,38
LMkTxSMBCEk,self-driving,236,7,38
LMkTxSMBCEk,tesla,236,7,38
MpVA_fkSnhI,adas,393,7,57
MpVA_fkSnhI,ai,393,7,57
MpVA_fkSnhI,autopilot,393,7,57
MpVA_fkSnhI,charging,393,7,57
MpVA_fkSnhI,nhtsa,393,7,57
MpVA_fkSnhI,rivian,393,7,57
MpVA_fkSnhI,self-driving,393,7,57
MpVA_fkSnhI,tesla,393,7,57
OftWSCNr40g,autopilot,30,3,12
OftWSCNr40g,battery,30,3,12
OftWSCNr40g,charging,30,3,12
OftWSCNr40g,driver assistance,30,3,12
OftWSCNr40g,infotainment,30,3,12
OftWSCNr40g,network,30,3,12
OftWSCNr40g,range,30,3,12
OftWSCNr40g,recall,30,3,12
OftWSCNr40g,self-driving,30,3,12
OftWSCNr40g,tax credit,30,3,12
OftWSCNr40g,tesla,30,3,12
RyeCae8s7Lk,battery,738,28,146
RyeCae8s7Lk,ccs,738,28,146
RyeCae8s7Lk,chargepoint,738,28,146
RyeCae8s7Lk,charger,738,28,146
RyeCae8s7Lk,charging,738,28,146
RyeCae8s7Lk,electrify america,738,28,146
RyeCae8s7Lk,network,738,28,146
RyeCae8s7Lk,rivian,738,28,146
RyeCae8s7Lk,state of charge,738,28,146
RyeCae8s7Lk,supercharger,738,28,146
RyeCae8s7Lk,suv,738,28,146
RyeCae8s7Lk,tesla,738,28,146
SAQpo7L9IWg,battery,309,19,81
SAQpo7L9IWg,ccs,309,19,81
SAQpo7L9IWg,charging,309,19,81
SAQpo7L9IWg,charging speed,309,19,81
SAQpo7L9IWg,electrify america,309,19,81
SAQpo7L9IWg,network,309,19,81
SAQpo7L9IWg,range,309,19,81
SAQpo7L9IWg,rivian,309,19,81
SAQpo7L9IWg,state of charge,309,19,81
SAQpo7L9IWg,supercharger,309,19,81
SAQpo7L9IWg,tesla,309,19,81
SAQpo7L9IWg,tesla supercharger,309,19,81
T5IJcjttlI0,battery,153,3,43
T5IJcjttlI0,charging,153,3,43
T5IJcjttlI0,dc fast charging,153,3,43
T5IJcjttlI0,electrify america,153,3,43
T5IJcjttlI0,network,153,3,43
T5IJcjttlI0,range,153,3,43
T5IJcjttlI0,rivian,153,3,43
T5IJcjttlI0,supercharger,153,3,43
T5IJcjttlI0,suv,153,3,43
T5IJcjttlI0,tesla,153,3,43
WAH_NDXBvp8,autopilot,163,6,41
WAH_NDXBvp8,charging station,163,6,41
WAH_NDXBvp8,federal tax credit,163,6,41
WAH_NDXBvp8,horsepower,163,6,41
WAH_NDXBvp8,infotainment,163,6,41
WAH_NDXBvp8,range,163,6,41
WAH_NDXBvp8,rivian,163,6,41
WAH_NDXBvp8,state of charge,163,6,41
WAH_NDXBvp8,tesla,163,6,41
WAH_NDXBvp8,torque,163,6,41
YeWq47CTDmE,battery,36,2,9
YeWq47CTDmE,ccs,36,2,9
YeWq47CTDmE,charger,36,2,9
YeWq47CTDmE,charging,36,2,9
YeWq47CTDmE,range,36,2,9
YeWq47CTDmE,state of charge,36,2,9
YeWq47CTDmE,tesla,36,2,9
YeWq47CTDmE,warranty,36,2,9
YtirJwXN7ow,range,91,5,25
YtirJwXN7ow,tesla,91,5,25
Z-CFXTgzirU,autopilot,38,1,15
Z-CFXTgzirU,charging,38,1,15
Z-CFXTgzirU,crossover,38,1,15
Z-CFXTgzirU,electrify america,38,1,15
Z-CFXTgzirU,fast charging,38,1,15
Z-CFXTgzirU,infotainment,38,1,15
Z-CFXTgzirU,range,38,1,15
Z-CFXTgzirU,tax credit,38,1,15
Z-CFXTgzirU,tesla,38,1,15
Z-CFXTgzirU,warranty,38,1,15
dMjB-aNwwPQ,autopilot,17,2,4
dMjB-aNwwPQ,battery,17,2,4
dMjB-aNwwPQ,charging,17,2,4
dMjB-aNwwPQ,fast charging,17,2,4
dMjB-aNwwPQ,network,17,2,4
dMjB-aNwwPQ,range,17,2,4
dMjB-aNwwPQ,self-driving,17,2,4
dMjB-aNwwPQ,tax credit,17,2,4
dMjB-aNwwPQ,tesla,17,2,4
nkVS4Ao5wSM,all-wheel drive,19,1,5
nkVS4Ao5wSM,battery,19,1,5
nkVS4Ao5wSM,capacity,19,1,5
nkVS4Ao5wSM,charger,19,1,5
nkVS4Ao5wSM,charging,19,1,5
nkVS4Ao5wSM,horsepower,19,1,5
nkVS4Ao5wSM,range,19,1,5
nkVS4Ao5wSM,tax credit,19,1,5
nkVS4Ao5wSM,torque,19,1,5
pD1gBRxHEc8,autopilot,73,3,26
pD1gBRxHEc8,battery,73,3,26
pD1gBRxHEc8,capacity,73,3,26
pD1gBRxHEc8,charging,73,3,26
pD1gBRxHEc8,driver assistance,73,3,26
pD1gBRxHEc8,electrify america,73,3,26
pD1gBRxHEc8,fast charging,73,3,26
pD1gBRxHEc8,infotainment,73,3,26
pD1gBRxHEc8,network,73,3,26
pD1gBRxHEc8,range,73,3,26
pD1gBRxHEc8,rivian,73,3,26
pD1gBRxHEc8,self-driving,73,3,26
pD1gBRxHEc8,supercharger,73,3,26
pD1gBRxHEc8,tax credit,73,3,26
pD1gBRxHEc8,tesla,73,3,26
sHgO_tzxU-g,autopilot,36,0,15
sHgO_tzxU-g,battery,36,0,15
sHgO_tzxU-g,capacity,36,0,15
sHgO_tzxU-g,charging,36,0,15
sHgO_tzxU-g,dc fast charging,36,0,15
sHgO_tzxU-g,infotainment,36,0,15
sHgO_tzxU-g,mileage,36,0,15
sHgO_tzxU-g,network,36,0,15
sHgO_tzxU-g,range,36,0,15
sHgO_tzxU-g,self-driving,36,0,15
sHgO_tzxU-g,tesla,36,0,15
tdqjxKy5VYA,autopilot,618,9,102
tdqjxKy5VYA,battery,618,9,102
tdqjxKy5VYA,capacity,618,9,102
tdqjxKy5VYA,charger,618,9,102
tdqjxKy5VYA,charging,618,9,102
tdqjxKy5VYA,electrify america,618,9,102
tdqjxKy5VYA,fast charging,618,9,102
tdqjxKy5VYA,infotainment,618,9,102
tdqjxKy5VYA,range,618,9,102
tdqjxKy5VYA,supercharger,618,9,102
tdqjxKy5VYA,tesla,618,9,102
tdqjxKy5VYA,top speed,618,9,102
uo5d-j6t418,acceleration,210,9,63
uo5d-j6t418,battery,210,9,63
uo5d-j6t418,battery swap,210,9,63
uo5d-j6t418,charge time,210,9,63
uo5d-j6t418,charger,210,9,63
uo5d-j6t418,charging,210,9,63
uo5d-j6t418,charging station,210,9,63
uo5d-j6t418,electrify america,210,9,63
uo5d-j6t418,energy density,210,9,63
uo5d-j6t418,fast charging,210,9,63
uo5d-j6t418,lithium-ion,210,9,63
uo5d-j6t418,lucid motors,210,9,63
uo5d-j6t418,range,210,9,63
uo5d-j6t418,road trip,210,9,63
uo5d-j6t418,solid-state battery,210,9,63
uo5d-j6t418,supercharger,210,9,63
uo5d-j6t418,tesla,210,9,63
xxpLykrmDA4,battery,24,0,11
xxpLykrmDA4,battery swap,24,0,11
xxpLykrmDA4,capacity,24,0,11
xxpLykrmDA4,ccs,24,0,11
xxpLykrmDA4,charge time,24,0,11
xxpLykrmDA4,charger,24,0,11
xxpLykrmDA4,charging,24,0,11
xxpLykrmDA4,charging station,24,0,11
xxpLykrmDA4,dc fast charging,24,0,11
xxpLykrmDA4,degradation,24,0,11
xxpLykrmDA4,electrify america,24,0,11
xxpLykrmDA4,fast charging,24,0,11
xxpLykrmDA4,home charging,24,0,11
xxpLykrmDA4,network,24,0,11
xxpLykrmDA4,range,24,0,11
xxpLykrmDA4,road trip,24,0,11
xxpLykrmDA4,self-driving,24,0,11
xxpLykrmDA4,smart charging,24,0,11
xxpLykrmDA4,supercharger,24,0,11
xxpLykrmDA4,tesla,24,0,11
xxpLykrmDA4,tesla supercharger,24,0,11
