,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
0,-23,-23,-23,-23,0,0,-23,0,0,0
1,0,-23,-23,-23,0,0,0,0,-23,0
2,0,-59,-59,-59,-59,0,0,0,-59,0
3,-92,-92,-92,-92,0,0,0,-92,0,0
4,-18,-18,-18,-18,0,0,-18,0,0,0
5,-47,-47,-47,-47,0,0,-47,-47,-47,-47
6,-38,-38,-38,-38,0,0,-38,0,0,0
7,0,-122,-122,0,0,0,0,-122,0,0
8,-13,-13,-13,-13,0,0,-13,0,0,0
9,-21,-21,-21,-21,0,0,-21,0,0,-21
10,-14,0,-14,-14,-14,0,0,0,0,-14
11,0,-66,-66,0,0,0,0,0,0,0
12,-110,-110,-110,-110,0,-110,-110,-110,-110,0
13,-592,-592,0,-592,-592,-592,-592,-592,-592,0
14,-147,-147,-147,-147,-147,0,0,0,-147,0
15,0,-336,0,-336,0,0,0,-336,0,0
16,-297,-297,-297,-297,0,0,0,0,0,0
17,0,-198,-198,-198,-198,0,0,0,0,0
18,-516,-516,-516,-516,-516,0,0,0,-516,-516
19,-98,-98,-98,-98,-98,0,-98,0,-98,-98
20,-28,-28,-28,-28,-28,0,0,0,-28,0
21,-228,-228,-228,-228,0,0,-228,-228,-228,0
22,-4,-4,-4,-4,-4,-4,-4,0,-4,0
23,0,0,0,0,0,0,0,0,0,0
24,-27,-27,-27,-27,-27,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
26,-13,-13,-13,-13,-13,0,-13,0,-13,-13
